question,retrieved_source,answer,correct
What is a Data Structure and what are its main categories?,"dsa_unit1_stacks_queues.txt, dsa_unit3_trees_huffman.txt","# Unit I: Data Structures and Algorithms - Stacks, Queues, and Expressions  ## 1. Introduction to Data Structures A Data Structure refers to an organized way of arrangement of data, related to each other in memory, which allows the program to handle ...",True
How does a Stack operate and what is its governing principle (LIFO)?,dsa_unit1_stacks_queues.txt,"Structures**: Elements form a sequential order (Arrays, Stacks, Queues, Linked Lists).   - **Non-Linear Data Structures**: Hierarchical or networked arrangement (Trees, Graphs).  ## 2. Stacks (LIFO Principle) A Stack is an abstract linear data type i...",True
What are the main applications of Stacks in computer science?,"dsa_unit1_stacks_queues.txt, dsa_unit4_sorting_algorithms.txt","Structures**: Elements form a sequential order (Arrays, Stacks, Queues, Linked Lists).   - **Non-Linear Data Structures**: Hierarchical or networked arrangement (Trees, Graphs).  ## 2. Stacks (LIFO Principle) A Stack is an abstract linear data type i...",True
How does a Queue differ from a Stack?,dsa_unit1_stacks_queues.txt,"Structures**: Elements form a sequential order (Arrays, Stacks, Queues, Linked Lists).   - **Non-Linear Data Structures**: Hierarchical or networked arrangement (Trees, Graphs).  ## 2. Stacks (LIFO Principle) A Stack is an abstract linear data type i...",True
What is a Binary Tree and what are its key properties?,"dsa_unit1_stacks_queues.txt, dsa_unit3_trees_huffman.txt","# Unit III: Trees, Binary Trees, and Huffman Coding  ## 1. Trees and Hierarchical Data Structures A Tree is a non-linear hierarchical data structure consisting of nodes connected by edges.  - **Root**: The topmost node of the tree hierarchy. - **Leaf...",True
"Explain Inorder, Preorder, and Postorder Binary Tree traversals.","dsa_unit1_stacks_queues.txt, dsa_unit3_trees_huffman.txt",perties**:   - A binary tree with $N$ internal nodes contains $N+1$ external (leaf) nodes.   - The maximum number of nodes at level $k$ is $2^k$.   - The height of a balanced binary tree with $N$ nodes is $O(\log N)$. - **Binary Tree Traversals**:   ...,True
What is a Binary Search Tree (BST) and what are its operation complexities?,"dsa_unit1_stacks_queues.txt, dsa_unit3_trees_huffman.txt",perties**:   - A binary tree with $N$ internal nodes contains $N+1$ external (leaf) nodes.   - The maximum number of nodes at level $k$ is $2^k$.   - The height of a balanced binary tree with $N$ nodes is $O(\log N)$. - **Binary Tree Traversals**:   ...,True
Describe the Huffman Algorithm for text compression.,dsa_unit3_trees_huffman.txt,Breadth-First Search)**: Visits nodes level by level from left to right using a queue.  ## 3. Binary Search Trees (BST) A Binary Search Tree is a binary tree where for every node $X$: - All keys in the left subtree of $X$ are strictly less than $X.ke...,True
What is the difference between Stable and Unstable Sorting algorithms?,dsa_unit4_sorting_algorithms.txt,# Unit IV: Sorting Algorithms and Efficiency Analysis  ## 1. Overview of Sorting Sorting refers to the operation of arranging data items in a specific order (ascending or descending). - **Stable vs Unstable Sort**: A sort is **stable** if elements wi...,True
"Compare the time complexities of Quick Sort, Merge Sort, and Heap Sort.",dsa_unit4_sorting_algorithms.txt,# Unit IV: Sorting Algorithms and Efficiency Analysis  ## 1. Overview of Sorting Sorting refers to the operation of arranging data items in a specific order (ascending or descending). - **Stable vs Unstable Sort**: A sort is **stable** if elements wi...,True
